Ticker,Code,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,Theme,Name
엘브이엠씨홀딩스,900140,엘브이엠씨,900140,자동차 판매업,지주회사,2010-11-30,12월,"오세영, 노성석, 김선발 (각자 대표이사)",http://www.lvmcholdings.net,케이맨 제도,지주사,엘브이엠씨홀딩스
성호전자,043260,성호전자,043260,전자부품 제조업,"전원공급장치,필름콘덴서",2001-11-29,12월,박성재,http://www.sungho.net,서울특별시,전기차,성호전자
태웅,044490,태웅,044490,기타 금속 가공제품 제조업,자유형단조품,2001-11-08,12월,장희상,http://www.taewoong.com,부산광역시,우주항공산업(누리호/인공위성 등),태웅
JYP Ent.,035900,JYP Ent.,035900,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음 관련 제품,2001-08-30,12월,정욱,http://www.jype.com,서울특별시,영상콘텐츠,JYP Ent.
세동,053060,세동,053060,자동차 신품 부품 제조업,"도어벨트, 몰딩",2001-08-17,12월,윤정상,http://www.saedong.co.kr,부산광역시,자동차부품,세동
세코닉스,053450,세코닉스,053450,사진장비 및 광학기기 제조업,"모바일용 카메라렌즈, 차량용 카메라 및 광학부품",2001-08-09,12월,박은경,http://www.sekonix.com,경기도,증강현실(AR),세코닉스
유아이엘,049520,유아이엘,049520,전자부품 제조업,"스마트폰 기구부품(키버튼,금속부품,부자재,악세서리 등)",2001-08-02,12월,김시균,http://www.e-uil.com,경기도,스마트폰,유아이엘
스카이문스테크놀로지,033790,스카이문스테크놀로지,033790,소프트웨어 개발 및 공급업,무선통신시스템용 중계기,2001-06-26,12월,예마오창 (Ye Maochang),http://www.seohwa.co.kr,경기도,통신장비,스카이문스테크놀로지
에이텍,045660,에이텍,045660,컴퓨터 및 주변장치 제조업,"PC,모니터",2001-05-24,12월,"신승영, 이상훈(각자 대표이사)",http://www.atec.kr,경기도,사물인터넷,에이텍
한화오션,042660,한화오션,042660,선박 및 보트 건조업,선박 제조,2001-02-02,12월,권혁웅,http://www.hanwhaocean.com/pub/main/index.do,경상남도,방위산업/전쟁 및 테러,한화오션
삼천당제약,000250,삼천당제약,000250,의약품 제조업,"하메론, 아토로우",2000-10-04,12월,전인석,http://www.scd.co.kr,경기도,바이오시밀러(복제 바이오의약품),삼천당제약
시그네틱스,033170,시그네틱스,033170,반도체 제조업,반도체 패키징,2010-11-26,12월,백동원,http://www.signetics.com,경기도,시스템반도체,시그네틱스
이오테크닉스,039030,이오테크닉스,039030,특수 목적용 기계 제조업,레이저 마커 및 레이저 응용기기,2000-08-24,12월,"성규동,박종구(각자대표이사)",http://www.eotechnics.com,경기도,반도체 장비,이오테크닉스
코아시아,045970,코아시아,045970,반도체 제조업,LED패키지,2000-08-03,12월,이희준 (단독대표),http://www.coasiacorp.co.kr,인천광역시,시스템반도체,코아시아
네오위즈홀딩스,042420,네오위즈홀딩스,042420,소프트웨어 개발 및 공급업,지주사업,2000-06-27,12월,김상욱,http://www.neowiz.com,경기도,모바일콘텐츠(스마트폰/태블릿PC),네오위즈홀딩스
