,Theme,Name,Code
826,카지노,강원랜드,35250
827,카지노,롯데관광개발,32350
830,제4이동통신,콤텍시스템,31820
831,제4이동통신,광무,29480
832,제4이동통신,세종텔레콤,36630
838,NI(네트워크통합),링네트,42500
842,2021 상반기 신규상장,씨앤씨인터내셔널,352480
845,2021 상반기 신규상장,모비릭스,348030
846,2021 상반기 신규상장,샘씨엔에스,252990
849,2021 상반기 신규상장,하나머스트7호스팩,372290
853,2021 상반기 신규상장,유일에너테크,340930
855,2021 상반기 신규상장,아모센스,357580
856,2021 상반기 신규상장,삼성스팩4호,377630
857,2021 상반기 신규상장,아이퀘스트,262840
858,2021 상반기 신규상장,에이치피오,357230
859,2021 상반기 신규상장,제주맥주,276730
862,2021 상반기 신규상장,싸이버원,356890
863,2021 상반기 신규상장,나노씨엠에스,247660
865,2021 상반기 신규상장,엔시스,333620
866,2021 상반기 신규상장,하이제6호스팩,377400
867,2021 상반기 신규상장,삼성머스트스팩5호,380320
868,2021 상반기 신규상장,유진스팩6호,373340
869,2021 상반기 신규상장,선진뷰티사이언스,86710
871,2021 상반기 신규상장,삼영에스앤씨,361670
872,2021 상반기 신규상장,엔에이치스팩19호,380440
874,2021 상반기 신규상장,프레스티지바이오로직스,334970
875,2021 상반기 신규상장,솔루엠,248070
876,2021 상반기 신규상장,바이오다인,314930
877,2021 상반기 신규상장,SK아이이테크놀로지,361610
879,2021 상반기 신규상장,SK바이오사이언스,302440
880,2021 상반기 신규상장,프레스티지바이오파마,950210
881,2021 상반기 신규상장,에이디엠코리아,187660
882,2021 상반기 신규상장,씨앤투스,352700
883,2021 상반기 신규상장,하인크코리아,373200
884,2021 상반기 신규상장,피엔에이치테크,239890
885,2021 상반기 신규상장,네오이뮨텍,950220
886,2021 상반기 신규상장,LB루셈,376190
887,2021 상반기 신규상장,오로스테크놀로지,322310
888,2021 상반기 신규상장,진시스템,363250
889,모듈러주택,범양건영,2410
890,모듈러주택,덕신하우징,90410
891,모듈러주택,에스와이,109610
892,모듈러주택,자연과환경,43910
893,모듈러주택,금강공업,14280
894,모듈러주택,한신공영,4960
895,모듈러주택,POSCO홀딩스,5490
896,모듈러주택,코오롱글로벌,3070
897,모듈러주택,삼성물산,28260
898,모듈러주택,GS건설,6360
899,남-북-러 가스관사업,부국철강,26940
900,남-북-러 가스관사업,디케이락,105740
901,남-북-러 가스관사업,엔케이,85310
902,남-북-러 가스관사업,삼현철강,17480
903,남-북-러 가스관사업,동양철관,8970
904,남-북-러 가스관사업,하이스틸,71090
905,남-북-러 가스관사업,휴스틸,5010
906,남-북-러 가스관사업,SK오션플랜트,100090
907,남-북-러 가스관사업,화성밸브,39610
908,남-북-러 가스관사업,동양에스텍,60380
910,남-북-러 가스관사업,세아제강,306200
911,남-북-러 가스관사업,대동스틸,48470
912,남-북-러 가스관사업,문배철강,8420
913,코로나19(스푸트니크V),보령,3850
914,코로나19(스푸트니크V),제테마,216080
915,코로나19(스푸트니크V),이수앱지스,86890
918,코로나19(스푸트니크V),아주IB투자,27360
919,코로나19(스푸트니크V),코리아에셋투자증권,190650
920,코로나19(스푸트니크V),종근당바이오,63160
922,스마트폰,피델릭스,32580
923,스마트폰,시노펙스,25320
926,스마트폰,이엠앤아이,83470
929,스마트폰,제이앤티씨,204270
930,스마트폰,아모그린텍,125210
932,스마트폰,한국컴퓨터,54040
933,스마트폰,유아이엘,49520
934,스마트폰,케스피온,79190
935,스마트폰,인탑스,49070
937,스마트폰,모다이노칩,80420
938,스마트폰,엔피디,198080
944,스마트폰,자화전자,33240
946,스마트폰,모베이스,101330
948,스마트폰,디스플레이텍,66670
949,스마트폰,웰킵스하이텍,43590
952,스마트폰,육일씨엔에쓰,191410
953,스마트폰,레몬,294140
954,스마트폰,액트로,290740
955,스마트폰,덕산네오룩스,213420
956,스마트폰,LG디스플레이,34220
957,스마트폰,씨유테크,376290
958,스마트폰,아비코전자,36010
959,스마트폰,아이앤씨,52860
961,스마트폰,인터플렉스,51370
962,스마트폰,세경하이테크,148150
963,스마트폰,성우전자,81580
964,스마트폰,노바텍,285490
965,스마트폰,디케이티,290550
968,스마트폰,KH바텍,60720
969,스마트폰,한일진공,123840
973,스마트폰,테이팩스,55490
974,스마트폰,유티아이,179900
976,스마트폰,테크엘,64520
977,스마트폰,엘디티,96870
979,스마트폰,블루콤,33560
980,스마트폰,슈피겐코리아,192440
981,스마트폰,이엠텍,91120
984,스마트폰,다산솔루에타,154040
986,스마트폰,삼성SDI,6400
987,스마트폰,해성옵틱스,76610
988,스마트폰,에이치앤비디자인,227100
999,휴대폰부품,파인엠텍,441270
1003,휴대폰부품,바이오로그디바이스,208710
